SMILES,logPapp
O1c2c(CC(O)C1c1cc(O)c(O)cc1)c(O)cc(O)c2,-6.2199998
O=C(NCC(C)C)\C=C\C=C/CCC#C\C=C/C,-3.8599999
Fc1cc2c(N(C=C(C(O)=O)C2=O)C2CC2)cc1N1CC(N(CC1)CCCC)C,-4.8600001
O1[C@@H]2[C@]34[C@H]([C@H](N(CC3)C)Cc3c4c1c(OC)cc3)C=C[C@@H]2O,-4.0900002
O1c2c(C=CC1=O)cccc2,-4.25
O=C1NC(=N)N(C1)C,-5.9354091
O1C=C(C(=O)c2c1cc(O)cc2)c1ccc(O)cc1,-4.6799998
o1ncc2C[C@@]3([C@@H]4[C@H]([C@@H]5CC[C@@](O)(C#C)[C@]5(CC4)C)CCC3=Cc12)C,-4.8400002
Oc1cc(O)ccc1C(=O)CCc1ccc(O)cc1,-4.7399998
F[C@@]12[C@H]([C@@H]3C[C@@H](C)[C@](O)(C(=O)CO)[C@]3(C[C@@H]1O)C)CCC1=CC(=O)C=C[C@@]12C,-4.8299999
F[C@@]12[C@H]([C@@H]3C[C@@H](C)[C@](O)(C(=O)CO[C@H]4O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]4O)[C@]3(C[C@@H]1O)C)CCC1=CC(=O)C=C[C@@]12C,-6.54
F[C@@]12[C@H]([C@@H]3C[C@@H](C)[C@](O)(C(=O)CO[C@H]4O[C@@H](C(O)=O)[C@H](O)[C@@H](O)[C@@H]4O)[C@]3(C[C@@H]1O)C)CCC1=CC(=O)C=C[C@@]12C,-6.1199999
Clc1cc2c(N(C)C(=O)CN=C2c2ccccc2)cc1,-4.4499998
O1CC(=CC1=O)[C@H]1CC[C@]2(O)[C@H]3[C@H](C[C@@H](O)[C@]12C)[C@@]1([C@@H](C[C@@H](O[C@@H]2O[C@H](C)[C@@H](O[C@@H]4O[C@H](C)[C@@H](O[C@@H]5O[C@H](C)[C@@H](O)[C@@H](O)C5)[C@@H](O)C4)[C@@H](O)C2)CC1)CC3)C,-5.585
O=Cc1n(Cc2ccc(cc2)-c2ccccc2-c2[nH]nnn2)c(nc1CC)CCC,-5.48
O1c2c(ccc(C)c2C)C(=O)c2c1c(ccc2)CC(O)=O,-4.5999999
O1C(C(O)=O)[C@@H](O)[C@@H](O)[C@H](O)C1OC(=O)Cc1c2Oc3c(ccc(C)c3C)C(=O)c2ccc1,-6.52
Oc1cc(ccc1O)CCN,-5.0300002
O1c2c(c3OC(=O)C=Cc3cc2)[C@H](OC(=O)C)[C@H](OC(=O)\C(=C\C)\C)C1(C)C,-4.5799999
O=C1N(c2c(cccc2)C1(Cc1ccncc1)Cc1ccncc1)c1ccccc1,-4.6199999
