SMILES,logPapp,n_measurements,label_mean,label_median,label_std,label_min,label_max,label_range
C#CC#CC/C=C\CCCCC/C=C/C(=O)NCC(C)CC,-4.4299998,1,-4.4299998,-4.4299998,,-4.4299998,-4.4299998,0.0
C#CC#CC/C=C\CCCCCC(C)=O,-4.492425,1,-4.492425,-4.492425,,-4.492425,-4.492425,0.0
C#CC#CCCCC/C=C/C(=O)NCC(C)C,-3.80499995,2,-3.80499995,-3.80499995,0.07778167521984214,-3.8599999,-3.75,0.10999990000000004
C#C[C@@]1(O)CC[C@@H]2[C@H]3CCC4=Cc5oncc5C[C@@]4(C)[C@@H]3CC[C@]21C,-4.561461,1,-4.561461,-4.561461,,-4.561461,-4.561461,0.0
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=Cc5oncc5C[C@]4(C)[C@H]3CC[C@@]21C,-4.8400002,1,-4.8400002,-4.8400002,,-4.8400002,-4.8400002,0.0
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,-4.4699998,1,-4.4699998,-4.4699998,,-4.4699998,-4.4699998,0.0
C.CC(C)n1c(N)nc2ccc(/C(=C/C(N)=O)c3cccc(F)c3F)cc21,-5.3000002,1,-5.3000002,-5.3000002,,-5.3000002,-5.3000002,0.0
C/C=C(/C)C(=O)O[C@@H]([C@@H](O)c1cc2ccc(=O)oc2cc1OC)C(C)(C)O,-4.8499289,1,-4.8499289,-4.8499289,,-4.8499289,-4.8499289,0.0
C/C=C(/C)C(=O)O[C@H](c1cc2ccc(=O)oc2cc1OC)[C@H](O)C(C)(C)O,-4.8123703,1,-4.8123703,-4.8123703,,-4.8123703,-4.8123703,0.0
C/C=C(\C)C(=O)O[C@H]1[C@@H](OC(C)=O)c2c(ccc3ccc(=O)oc23)OC1(C)C,-4.5799999,1,-4.5799999,-4.5799999,,-4.5799999,-4.5799999,0.0
C/C=C/C#CCC/C=C\C=C\C(=O)NCC(C)C,-4.0,1,-4.0,-4.0,,-4.0,-4.0,0.0
C/C=C/C/C=C/CCC(=O)[C@@H]1O[C@@H]1C(N)=O,-5.4224062,1,-5.4224062,-5.4224062,,-5.4224062,-5.4224062,0.0
C/C=C/c1cc(OC)c2c(c1)C(C)C(c1cc(OC)c(O)c(OC)c1)O2,-5.3400002,1,-5.3400002,-5.3400002,,-5.3400002,-5.3400002,0.0
C/C=C\C#C/C=C/C(O)CCCCCC(C)=O,-4.3099017,1,-4.3099017,-4.3099017,,-4.3099017,-4.3099017,0.0
C/C=C\C#CC/C=C\CCCCCC(C)=O,-5.0,1,-5.0,-5.0,,-5.0,-5.0,0.0
C/C=C\C#CCC/C=C\C=C\C(=O)NCC(C)C,-3.8599999,1,-3.8599999,-3.8599999,,-3.8599999,-3.8599999,0.0
C/C=C\C=C/CC/C=C/C=C/C(=O)NCC(C)C,-4.2441254,1,-4.2441254,-4.2441254,,-4.2441254,-4.2441254,0.0
C/N=C(\NC#N)NCCSCc1[nH]cnc1C,-5.9000001,1,-5.9000001,-5.9000001,,-5.9000001,-5.9000001,0.0
C/N=C(\NC#N)NCCSCc1csc(N=C(N)N)n1,-5.7693943999999995,2,-5.7693943999999995,-5.7693943999999995,0.15642008101576987,-5.8800001,-5.6587887,0.2212114000000005
C=C(C)C(COc1c2occc2cc2ccc(=O)oc12)OC(C)(C)C(O)COc1c2occc2cc2ccc(=O)oc12,-4.48,1,-4.48,-4.48,,-4.48,-4.48,0.0
C=C(C)CNc1ccc(C(C)C(=O)O)cc1,-4.3400002,1,-4.3400002,-4.3400002,,-4.3400002,-4.3400002,0.0
C=C(c1ccccc1)C1OCC(N)CO1,-4.9913998,1,-4.9913998,-4.9913998,,-4.9913998,-4.9913998,0.0
C=C(c1ccccc1)C1OCC(NC(=O)Cc2ccccc2)CO1,-5.0498786,1,-5.0498786,-5.0498786,,-5.0498786,-5.0498786,0.0
C=C(c1ccccc1)[C@H]1OC[C@@H](N)[C@H](C)O1,-4.9880071,1,-4.9880071,-4.9880071,,-4.9880071,-4.9880071,0.0
C=C(c1ccccc1)[C@H]1OC[C@@H](NC(=O)Cc2ccccc2)[C@H](C)O1,-5.0503659,1,-5.0503659,-5.0503659,,-5.0503659,-5.0503659,0.0
C=C1C[C@@H]2[C@H](CC[C@]3(C)C(=O)CC[C@@H]23)[C@@]2(C)C=CC(=O)C=C12,-4.3299999,1,-4.3299999,-4.3299999,,-4.3299999,-4.3299999,0.0
C=C1C[C@]23CC[C@@H]4[C@](C)(C(=O)OC5O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]5O)CCC[C@@]4(C)C2CC(O[C@H]2O[C@@H](CO)[C@H](O)C(O[C@H]4O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]4O)[C@@H]2O[C@H]2O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]2O)[C@H]1C3,-6.9593034,1,-6.9593034,-6.9593034,,-6.9593034,-6.9593034,0.0
C=C1NC(N)=Nc2c1ncn2COCCOC(=O)CC[C@@H](N)C(=O)O,-5.8099999,1,-5.8099999,-5.8099999,,-5.8099999,-5.8099999,0.0
C=C1NC(N)=Nc2c1ncn2COCCOC(=O)[C@@H](C)N,-5.6900001,1,-5.6900001,-5.6900001,,-5.6900001,-5.6900001,0.0
C=C1NC(N)=Nc2c1ncn2COCCOC(=O)[C@H](N)C(C)C,-5.3499999,1,-5.3499999,-5.3499999,,-5.3499999,-5.3499999,0.0
C=C1NC(N)=Nc2c1ncn2COCCOC(=O)[C@H](N)CO,-5.3299999,1,-5.3299999,-5.3299999,,-5.3299999,-5.3299999,0.0
C=C1NC(N)=Nc2c1ncn2COCCOC(=O)[C@H](N)[C@H](C)CC,-5.6799998,1,-5.6799998,-5.6799998,,-5.6799998,-5.6799998,0.0
C=CC(N)=O,-4.5693183,1,-4.5693183,-4.5693183,,-4.5693183,-4.5693183,0.0
C=CC1=C(C)/C(=C\C2=N/C(=C\c3[nH]c(/C=C4/NC(=O)C(C)=C4C=C)c(C)c3CCC(=O)O)C(CCC(=O)O)=C2C)NC1=O,-5.6290045,1,-5.6290045,-5.6290045,,-5.6290045,-5.6290045,0.0
C=CC1=C(C)/C(=C\c2[nH]c(Cc3[nH]c(/C=C4/NC(=O)C(C)=C4C=C)c(C)c3CCC(=O)NCCS(=O)(=O)O)c(CCC(=O)NCCS(=O)(=O)O)c2C)NC1=O,-6.0594678,1,-6.0594678,-6.0594678,,-6.0594678,-6.0594678,0.0
C=CC1=C(C)/C(=C\c2[nH]c(Cc3[nH]c(/C=C4/NC(=O)C(C)=C4C=C)c(C)c3CCC(=O)O)c(CCC(=O)O)c2C)NC1=O,-6.1314831,1,-6.1314831,-6.1314831,,-6.1314831,-6.1314831,0.0
C=CCC(N)c1ccccc1-c1noc2ccccc12,-4.8699999,1,-4.8699999,-4.8699999,,-4.8699999,-4.8699999,0.0
C=CCN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5,-4.6208858500000005,2,-4.6208858500000005,-4.6208858500000005,0.06945803845578266,-4.6700001,-4.5717716,0.09822850000000027
C=CCNC(=O)C(=O)C(CCC)NC(=O)C1C2C(CN1C(=O)C(NC(=O)NC(C(=O)C(C)C)C(C)C)C(C)(C)C)C2(C)C,-5.29,1,-5.29,-5.29,,-5.29,-5.29,0.0
C=CCNC(=O)C(=O)C(CCC)NC(=O)C1CC2CN1C(=O)C(C1CCCCC1)NC(=O)Cc1cccc(c1)OCCC(C)(C)O2,-5.0300002,1,-5.0300002,-5.0300002,,-5.0300002,-5.0300002,0.0
C=CCO[C@H](CCC(C)(C)O)[C@](C)(O)[C@H]1CC[C@@]2(O)C3=CC(=O)[C@@H]4C[C@@H](O)[C@@H](O)C[C@@]4(C)C3CC[C@]12C,-4.6900001,1,-4.6900001,-4.6900001,,-4.6900001,-4.6900001,0.0
C=CCOc1ccccc1OCC(CNC(C)C)OC(=O)C1CC1,-4.1920457,1,-4.1920457,-4.1920457,,-4.1920457,-4.1920457,0.0
C=CCOc1ccccc1OCC(O)CNC(C)C,-4.2475038,3,-4.315834533333333,-4.2475038,0.33526370343121464,-4.6799998,-4.02,0.6599998000000005
C=CCOc1ccccc1OC[C@@H](CNC(C)C)OC(=O)C1CC1,-4.5450001,1,-4.5450001,-4.5450001,,-4.5450001,-4.5450001,0.0
C=CC[C@@H]1/C=C(\C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@@H](O)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC,-5.1500001,1,-5.1500001,-5.1500001,,-5.1500001,-5.1500001,0.0
C=CCc1cc(OC)c(OC(C)C(O)c2cc(O)cc(OC)c2)c(OC)c1,-4.6500001,1,-4.6500001,-4.6500001,,-4.6500001,-4.6500001,0.0
C=CCc1cc(OC)c(OC(C)C(O)c2cc(OC)c(OC)c(OC)c2)c(OC)c1,-4.5500002,1,-4.5500002,-4.5500002,,-4.5500002,-4.5500002,0.0
C=CCc1cc(OC)c(OC(C)C(O)c2ccc(O)c(OC)c2)c(OC)c1,-4.5100002,1,-4.5100002,-4.5100002,,-4.5100002,-4.5100002,0.0
C=CCc1cc(OC)c(OC(C)C(O)c2ccc(OC)c(OC)c2)c(OC)c1,-4.6199999,1,-4.6199999,-4.6199999,,-4.6199999,-4.6199999,0.0
C=CCc1cc(OC)c(OC(C)C(OC(C)=O)c2ccc(OC)c(OC)c2)c(OC)c1,-4.5900002,1,-4.5900002,-4.5900002,,-4.5900002,-4.5900002,0.0
C=CCc1cc(OC)c(OC(C)Cc2cc(OC)c(OC)c(OC)c2)c(OC)c1,-4.73,1,-4.73,-4.73,,-4.73,-4.73,0.0
C=CCc1ccccc1OCC(CNC(C)C)OC(=O)C1CC1,-4.1507826,1,-4.1507826,-4.1507826,,-4.1507826,-4.1507826,0.0
C=CCc1ccccc1OCC(O)CNC(C)C,-4.10392985,2,-4.10392985,-4.10392985,0.37657247403734245,-4.3702068,-3.8376529,0.5325538999999999
C=C[C@@H]1CN2CC[C@@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12,-4.5008955,1,-4.5008955,-4.5008955,,-4.5008955,-4.5008955,0.0
